generation,candidate,score,mean_wake_mse,std_wake_mse,mean_drag,mean_energy,is_best
20,3,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08834221214056015,0
20,4,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09297707676887512,0
20,5,-0.04409768059849739,0.04409768059849739,3.725290298461914e-09,0.0,0.09074223786592484,0
20,6,-0.045579712837934494,0.045579712837934494,3.725290298461914e-09,0.0,0.08206711709499359,0
20,7,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09246089309453964,0
20,8,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09015712887048721,0
20,9,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09254082292318344,0
21,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09292513132095337,0
21,1,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08974114805459976,0
21,2,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09077224135398865,0
21,3,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09550843387842178,0
21,4,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.0920814499258995,0
21,5,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09015921503305435,0
21,6,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09214535355567932,0
21,7,-0.04508068040013313,0.04508068040013313,0.0,0.0,0.09368150681257248,0
21,8,-0.044326845556497574,0.044326845556497574,0.0,0.0,0.09165344387292862,0
21,9,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09063365310430527,0
22,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09310987591743469,0
22,1,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08920451998710632,0
22,2,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.087770976126194,0
22,3,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09481815248727798,0
22,4,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.094719797372818,0
22,5,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08993659168481827,0
22,6,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09178217500448227,0
22,7,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09260812401771545,0
22,8,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08796622604131699,0
22,9,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.0888352021574974,0
23,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09426643699407578,0
23,1,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09019056707620621,0
23,2,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09345107525587082,0
23,3,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09432337433099747,0
23,4,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.0898982360959053,0
23,5,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09499623626470566,0
23,6,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09608104825019836,0
23,7,-0.045369844883680344,0.045369844883680344,3.725290298461914e-09,0.0,0.08838972449302673,0
23,8,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09196653962135315,0
23,9,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09474852681159973,0
24,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09407011419534683,0
24,1,-0.04405349865555763,0.04405349865555763,0.0,0.0,0.09243299812078476,0
24,2,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09443237632513046,0
24,3,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09321508556604385,0
24,4,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09373688697814941,0
24,5,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09314629435539246,0
24,6,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08824179321527481,0
24,7,-0.04407348856329918,0.04407348856329918,0.0,0.0,0.09144345670938492,0
24,8,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09179189056158066,0
24,9,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08865394443273544,0
